,0
0,4046.0
1,1044.0
2,2496.901241534989
3,2469.0
4,577984.8395695646
5,760.2531417689536
6,1049.0
7,4016.16
8,2967.16
9,5523.0
10,2848.0
11,4236.053047404063
12,4234.5
13,469971.9565539188
14,685.5450069498856
15,2861.0
16,5509.58
17,2648.58
18,1219.0
19,276.0
20,860.6786941580756
21,909.0
22,30397.456327275304
23,174.34866310722117
24,388.0
25,1162.1
26,774.0999999999999
27,3589.0
28,12.0
29,1514.6247099767982
30,279.0
31,2633530.1706423173
32,1622.8155072719503
33,21.0
34,3588.0
35,3567.0
36,724.0
37,530.0
38,628.8047404063205
39,626.0
40,2004.4122122915276
41,44.770662406217845
42,542.0
43,715.0
44,173.0
45,25.96150997149434
46,1.0
47,14.282692060235501
48,14.662521419397219
49,22.83389303284784
50,4.778482293871961
51,2.8284271247461903
52,23.853720883753127
53,21.025293759006935
54,3.708787138784906
55,0.125
56,1.9088060732898173
57,1.9143810062985571
58,0.4253145608772006
59,0.652161453075234
60,0.3535533905932738
61,3.3380584901684967
62,2.9845050995752227
63,0.5298267341121294
64,0.015625
65,0.2562392685555671
66,0.25194555463432966
67,0.008624425302447216
68,0.0928677839858754
69,0.04563404035713857
70,0.47686549859549954
71,0.43123145823836095
72,0.0720063500596412
73,0.001953125
74,0.03452641331801627
75,0.03324126603787574
76,0.00018464960067888738
77,0.013588583468444656
78,0.005859375
79,0.06802067907505291
80,0.06216130407505291
81,0.0
82,0.0
83,0.0
84,1607.0
85,1690.0
86,25.0
87,1.0
88,9.920588235294117
89,9.0
90,33.88487024221453
91,5.821071228065718
92,1.0
93,22.0
94,21.0
95,3.5714285714285716
96,0.125
97,1.3259138655462186
98,1.25
99,0.6154264982831367
100,0.7844912353131401
101,0.125
102,3.001249999999999
103,2.876249999999999
104,0.4897959183673469
105,0.015625
106,0.17780661043110593
107,0.16326530612244897
108,0.011592444121384396
109,0.10766821314289746
110,0.015625
111,0.42857142857142855
112,0.41294642857142855
113,0.06705539358600583
114,0.001953125
115,0.0239462493335926
116,0.023323615160349854
117,0.00022617476317834606
118,0.015039107791965123
119,0.001953125
120,0.061224489795918366
121,0.059271364795918366
122,24.0
123,1.0
124,8.812760882528325
125,8.0
126,27.35551992672266
127,5.230250465008599
128,1.0
129,21.0
130,20.0
131,3.2857142857142856
132,0.125
133,1.1777302155209133
134,1.125
135,0.49657112100261497
136,0.7046780264791963
137,0.125
138,2.857142857142857
139,2.732142857142857
140,0.4489795918367347
141,0.015625
142,0.15734844072117787
143,0.14285714285714285
144,0.0091810639165678
145,0.09581786846182605
146,0.015625
147,0.38775510204081637
148,0.37213010204081637
149,0.061224489795918366
150,0.001953125
151,0.02107730838834763
152,0.01953125
153,0.00017440274790438926
154,0.013206163254495579
155,0.001953125
156,0.05539358600583091
157,0.05344046100583091
158,25.0
159,-23.0
160,-0.7805882352941177
161,-2.0
162,131.69362318339103
163,11.47578420777382
164,-21.0
165,22.0
166,43.0
167,3.5714285714285716
168,-3.142857142857143
169,-0.1041911764705882
170,-0.25
171,2.362618275876527
172,1.5370810895579083
173,-2.857321428571429
174,3.0
175,5.857321428571429
176,0.5102040816326531
177,-0.4489795918367347
178,-0.013969275210084026
179,-0.03125
180,0.043140200402182645
181,0.20770219161622402
182,-0.40816326530612246
183,0.40816326530612246
184,0.8163265306122449
185,0.0728862973760933
186,-0.0641399416909621
187,-0.001881213422869148
188,-0.00390625
189,0.0008011228542189467
190,0.02830411373314746
191,-0.05830903790087464
192,0.05830903790087464
193,0.11661807580174928
194,24.0
195,-21.0
196,0.36911150864639236
197,-2.0
198,104.88403099352885
199,10.241290494538706
200,-18.0
201,21.0
202,39.0
203,3.2857142857142856
204,-2.857142857142857
205,0.0492056393219184
206,-0.25
207,1.8811983866124729
208,1.371567857093652
209,-2.387857142857143
210,2.857142857142857
211,5.245
212,0.4693877551020408
213,-0.40816326530612246
214,0.006588805021113989
215,-0.03125
216,0.03434075168417412
217,0.18531257832153253
218,-0.32653061224489793
219,0.40816326530612246
220,0.7346938775510203
